f1,f2,f3,f4,f5,f6,f7,f8,f9,class
0.02543971017,0.07671721677,0.0723812622,0.1204569055,0.201594533,4.24E-06,0.5253164557,0.8048780488,0.0007503751876,1
0.01216135667,0.02217525268,0.04471801098,0.1881098265,0.1297977165,9.36E-06,0.6171212859,0.06233062331,0.001124063085,1
0.03535084218,0.08539120847,0.07522659175,1,0.08651406819,9.75E-06,0.5921091086,0.2527953045,0.001249063203,1
0.01790359421,0.05158271228,0.05562790731,0.5607411826,0.09793588105,9.40E-06,0.6498295178,0.05516507704,0.001749063672,1
0.02722682038,0.01599482156,0.03998057055,0.3584095556,0.2495617622,1,0.6536775451,0.02557420882,0.001874063789,1
0.00803212496,0.01155177042,0.04361652651,0.03551763254,0.2451668091,0.003158114287,0.5767169995,0.0209449038,0.0009990629681,1
0.007573927619,0.02579069943,0.05863163641,0.08382333289,0.3341646089,0.00390305158,0.6902338042,0.01565900196,0.001874063789,1
0.0247916928,0.05515043177,0.04962257047,0.737935736,0.1693538685,0.002773404888,0.4612761812,0.02931892171,0.001499063437,1
0.01032885774,0.0177834997,0.04266820378,0.1655873833,0.1968223253,0.003875072714,0.6694769061,0.07528432096,0.001624063554,1
0.009640151305,0.0133350554,0.04171988105,0.1561530698,0.1363917205,0.003822612341,0.6541037389,0.02391122768,0.0006240626164,1
0.008033169632,0.01956287742,0.03729437498,0.07019599116,0.0924421897,0.003798130834,0.6848500732,0.01309583962,0.0009992207012,1
0.01537937157,0.02045256627,0.06416391632,0.1561530698,0.07266490086,0.003448395016,0.6137491751,0.0618301048,0.0006242204087,1
0.01101756417,0.02134225513,0.034291763,0.05132736414,0.195845952,0.003179098436,0.5868461326,0.02127521019,0.0008742206037,1
0.009410582495,0.01244536654,0.04851704947,0.4496650455,0.08928455491,0.003693210089,0.6848500732,0.02668252947,0.0009992207012,1
0.008033169632,0.01066598883,0.04377544008,0.005204053672,0.2947173513,0.002930786006,0.5195885263,0.01586789091,0.001624221189,1
0.005737481526,0.03201928428,0.04156268903,0.08175599728,0.1310302569,0.003525336896,0.6387305718,0.08616304156,0.0007492205062,1
0.007344881694,0.02757084349,0.05689389272,0.07441843105,0.1573959634,0.003137130138,0.5714729654,0.01586789091,0.001124220799,1
0.01193625597,0.02757084349,0.05657778543,0.2735809431,0.1409173968,0.003731681029,0.6752418438,0.06723742408,0.001374220994,1
0.02593994751,0.03112959612,0.05120396145,0.6603755058,0.04094742634,0.004056935339,0.7194396994,0.0618301048,0.0009992207012,1
0.005508331984,0.01600489744,0.03445027495,0.09223823476,0.2049115606,0.003277024465,0.6252790505,0.01586789091,0.001249220896,1
0.04935600632,0.04803367112,0.06827375525,0.2704362718,0.03579053901,0.00392053837,0.7117531158,0.01857155055,1,1
0.00688579651,0.01867396191,0.08044388601,0.09014178726,0.2587647727,0.003637252358,0.6790851356,0.08075572228,0.2557059335,1
0.04820816281,0.1067530895,0.0725412037,0.2505200206,0.1072233484,0.003549818403,0.6272006964,0.03208984875,0.2091875543,1
0.01652768198,0.02579146717,0.07601838392,0.2914007468,0.1105177272,0.003626760283,0.671398552,0.04020082767,0.278965123,1
0.01032932704,0.02045333823,0.05389087344,0.5366851037,0.08526082318,0.002794389037,0.4619391494,0.01046057163,0.2557059335,1
0.008951914825,0.01689458559,0.06242577034,0.1404565271,0.1061252222,0.003563807836,0.6483388012,0.05919347638,0.2324467439,1
0.03443404071,0.1325540461,0.04946537134,0.4088018065,0.1390690101,0.003553315762,0.6095847458,0.01593800403,0.2091875543,1
